grid_type,diffusion_evs,diffusion_hps,diffusion_pv_storage,curtailment,tariff_wholesale,tariff_grid_usage_fee,q,component,value
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 3_entity,-9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 14_HH1a_eff_vacWinter_ees,0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 59_entity,-0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 15_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 15_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 88_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 68_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 68_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 78_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 60_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 51_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 69_HH1b_random_vacWinter_ees,9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 26_entity,-9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 113_HH1b_eff_vacSummer_ees,0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 82_entity,-0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 41_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 41_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 38_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 11_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 21_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 64_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 29_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 20_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 20_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Load 12_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 113_HH1b_eff_vacSummer_ees,0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 82_entity,-0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 119_HH2a_eff_vacWinter_ees,0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 66_entity,-0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 31_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 2_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 9_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 9_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 24_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 93_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 93_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 33_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 87_HH1b_eff_vacSummer_ees,0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 44_entity,-0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 106_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 106_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 89_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 49_HH1b_random_vacWinter_ees,9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 20_entity,-9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 42_HH1b_eff_vacWinter_ees,0.0003441005979230803
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 42_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 7_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 108_entity,-0.000187120957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Bus 18_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Load 1_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 79_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 79_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 28_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Bus 5_HH2a_random_vacWinter_ees,0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Load 13_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 20_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 20_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 97_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 82_HH1a_random_vacSummer_ees,8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 2_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 33_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 38_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 58_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 58_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 77_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 59_HH1a_eff_vacWinter_ees,0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 4_entity,-0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 101_HH2a_eff_vacSummer_ees,8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 50_entity,-8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 104_HH2a_random_vacWinter_ees,0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 36_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 110_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 110_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 102_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 68_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 91_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 103_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 103_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 71_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 12_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 12_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 74_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 25_HH1b_eff_vacSummer_ees,0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 24_entity,-0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 73_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 73_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 108_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 68_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 2_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Bus 10_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Load 1_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 22_HH1b_random_vacWinter_ees,9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Load 6_entity,-9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 89_HH1a_random_vacSummer_ees,8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 61_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 51_HH2a_eff_vacSummer_ees,8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 97_entity,-8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 8_HH2a_random_vacWinter_ees,0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 34_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 20_HH2b_eff_vacSummer_ees,5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 11_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 37_HH2a_eff_vacWinter_ees,0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Load 35_entity,-0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 28_HH1a_random_vacSummer_ees,8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 3_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 17_HH1a_random_vacSummer_ees,0.0002019688809800449
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 24_entity,-0.00011467799999999999
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 70_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 99_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 98_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 40_HH1a_random_vacWinter_ees,0.0005714170789212976
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 40_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 32_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 80_entity,-0.00026966399999999997
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Bus 34_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Bus 34_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Load 7_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 124_HH2b_eff_vacSummer_ees,5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 53_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 7_HH1a_random_vacSummer_ees,0.0001461796616737793
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 15_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 63_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 109_HH1b_eff_vacWinter_ees,0.000187230957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 109_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 80_entity,-0.000187120957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 8_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 8_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 4_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 55_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 55_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 37_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 44_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 44_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Load 41_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 34_HH2a_eff_vacSummer_ees,8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 70_entity,-8.552164879776495e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 34_HH1b_random_vacWinter_ees,9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 70_entity,-9.802494726819403e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 5_HH1b_eff_vacWinter_ees,0.000301908957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Bus 5_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 14_entity,-0.00011467799999999999
standard,70,standard,standard,none,rtt,fix,q09699,LV4.219 Load 26_entity,-0.000187120957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 23_HH1a_random_vacWinter_ees,0.00039749807892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 23_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 52_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 28_entity,-9.574500000000001e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 83_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 72_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 77_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 77_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 14_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 43_HH2a_eff_vacWinter_ees,0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 14_entity,-0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Bus 12_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Bus 12_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV4.202 Load 28_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 60_HH2a_random_vacWinter_ees,0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 51_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 27_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 27_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 1_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 28_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 5_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 75_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 75_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 87_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 71_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 71_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 91_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 92_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 92_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 3_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 67_HH2b_random_vacWinter_ees,0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 62_entity,-0.00048143537683600164
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 32_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 34_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 81_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 82_entity,-0.00011467799999999999
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 83_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 46_HH1b_random_vacSummer_ees,0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 46_entity,-0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 4_HH1a_random_vacSummer_ees,0.0002887443291015513
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 53_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 51_entity,-0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 24_HH2b_eff_vacSummer_ees,5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 70_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 119_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 119_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 66_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 93_HH1b_eff_vacSummer_ees,0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 114_entity,-0.0001338884597156078
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 57_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 57_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 92_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 120_HH1b_random_vacSummer_ees,0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 18_entity,-0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 24_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 24_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 3_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 75_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 76_entity,-0.00010394200000000002
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 77_entity,-9.804e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 115_HH2a_random_vacSummer_ees,0.00011423773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 115_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 26_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 4_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 29_entity,-0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Bus 6_HH2b_random_vacSummer_ees,7.625745848714438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Bus 6_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV1.202 Load 6_entity,-7.574745848714439e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 18_LV6.202 Load 31_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 18_LV6.202 Load 78_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 31_entity,-0.00028723500000000005
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 78_entity,-0.000259855
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 79_entity,-0.0001568696400869483
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 102_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 102_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 30_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 132_HH1a_random_vacSummer_ees,8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 90_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 14_HH1b_random_vacSummer_ees,0.0004505231785140348
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 14_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 28_entity,-0.00011373773039252841
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 72_entity,-0.0002014534481215064
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 73_entity,-0.00013483199999999999
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 15_HH2b_eff_vacWinter_ees,6.044137287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 15_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 72_entity,-6.028037287816178e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Bus 95_HH1a_eff_vacWinter_ees,0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV3.205 Load 33_entity,-0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Bus 2_HH2b_eff_vacSummer_ees,5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV4.232 Load 11_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Bus 30_HH1a_random_vacSummer_ees,8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV5.217 Load 38_entity,-8.729088098004491e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Bus 104_HH2a_eff_vacWinter_ees,0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV3.202 Load 36_entity,-0.00010627357249234605
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 93_HH1b_eff_vacWinter_ees,0.000187230957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Bus 93_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09699,LV2.217 Load 33_entity,-0.000187120957836132
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 111_HH1a_random_vacWinter_ees,0.00030175307892129765
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Bus 111_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09699,LV3.203 Load 68_entity,-0.00029475307892129764
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Bus 39_HH1a_eff_vacWinter_ees,0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV6.202 Load 17_entity,-0.00010533559354629255
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Bus 80_HH2b_eff_vacSummer_ees,5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV3.204 Load 25_entity,-5.888878069373438e-05
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Bus 42_HH1a_eff_vacSummer_ees,0.00012075480948734886
standard,70,standard,standard,none,rtt,fix,q09699,LV2.203 Load 99_entity,-0.00012075480948734886
